,主城区环境空气细颗粒物（微克/立方米）,每万人生活垃圾清运量（吨）,建成区绿化覆盖率(%),每万人公园绿地面积(公顷）,每万人拥有公厕（座）,城镇基本医疗保险年末参保人数比（%）,每万人等级教练员(人),工伤保险年末参保人数比(%),养老保险基金支出比（%）,每万名女性妇幼保健院个数(个）,每千人医疗卫生机构数（个）,每万人中医院个数（个）,每万人拥有卫生技术人员数(人),每万人卫生机构床位数（张),地方财政医疗卫生支出占财政支出比率(%),平均预期寿命(岁),人口死亡率,每万人社会服务机构（个）,
2017,55,3073.076923,39.1,56.36889992,2.572787428,0.142514475,0.0149,0.396220017,0.929082164,0.016835401,0.2127378,0.007857734,0.007729529,0.005566584,0.054610592,80.96,5.3,2.65,
2016,59,2600.702479,38.6,53.2231405,2.570247934,0.139669421,0.0153,0.389896694,0.836600517,0.017864752,0.207272727,0.00785124,0.007363636,0.005338843,0.055369753,80.86,5,2.532644628,
2015,69,2539.130435,38.5,52.71221532,2.566045549,0.11300207,0.016563147,0.386281573,0.914212373,0.01811913,0.207701863,0.007453416,0.007043478,0.005084886,0.049011881,80.76,5.07,2.428571429,
2014,71,2507.873042,38.4,51.81368508,2.542456719,0.106224237,0.017312448,0.37942704,0.891622017,0.017892415,0.205441055,0.007419621,0.006764221,0.004843364,0.053773378,80.66,5.21,1.570486397,
2013,82,3043.478261,38.4,51.4699793,2.576811594,0.106169772,0.019875776,0.374360248,0.836587701,0.017933913,0.204099379,0.007453416,0.006505176,0.004732919,0.047458271,80.56,5.24,1.338302277,
2012,71,3008.403361,38.3,52.18487395,2.663865546,0.110336134,0.001680672,0.377705882,0.81038878,0.018421765,0.203571429,0.007142857,0.006210084,0.004613445,0.047165167,80.46,5.36,1.456302521,
2011,80,2999.573924,38.2,52.10907542,2.457605454,0.106391138,0.009373669,0.400302514,0.912185683,0.019066425,0.201959949,0.007243289,0.005994887,0.004563272,0.048540441,80.36,5.1,1.494674052,
2010,89,3178.462875,38.2,52.14937039,2.61658706,0.110706881,0.033000434,0.417281806,0.952354197,0.019435701,0.204429006,0.007381676,0.005953105,0.004563613,0.048463618,80.26,5.07,1.269648285,
2009,100,3212.669683,38.1,52.8959276,2.548868778,0.115022624,0.016000768,0.422638009,0.935814119,0.019804977,0.201809955,0.007692308,0.00600905,0.004511312,0.04443664,80.26,5.94,0.92,
MIN,46.8,1183.248408,27.27,12.752443,0.715491101,0.443623779,0.00207,0.20478708,0.781258634,0.024404624,0.286691576,0.019055375,0.004868635,0.003281181,0.043403778,71.001,4.545,0.841401274,
MAX,135.3,2167.996146,40.92,31.29736673,1.263925081,0.789726937,0.0352,0.27929544,1.098091986,0.041695554,0.391323057,0.037323944,0.007135517,0.00483237,0.066367194,87.549,6.732,2.3463,
WEIGHTS,-0.042725599,-0.048832001,0.05846549,0.072338047,0.025250253,0.119003059,0.029965372,0.060040108,0.038057505,0.031819517,0.06511232,0.04168037,0.076773025,0.081552594,0.039943028,0.047776031,0.074587793,0.046077889,
,,,,,,,,,,,,,,,,,,,
,-0.003958756,-0.09371345,0.050670091,0.170134391,0.085511117,-0.103532509,0.011604459,0.154259928,0.017756321,-0.013929211,-0.04602154,-0.025547804,0.096890568,0.120153343,0.019493358,0.028752809,0.02574933,0.055376758,0.549649203
,-0.005889857,-0.070289188,0.048528498,0.157863751,0.085394197,-0.104510744,0.01196625,0.149164487,0.006647577,-0.012034955,-0.049422463,-0.02556262,0.084498784,0.108180031,0.020813858,0.028464098,0.015517808,0.051783501,0.501113013
,-0.010717608,-0.067235933,0.048100179,0.155870789,0.085200717,-0.113679965,0.01310874,0.14625136,0.015970186,-0.011566838,-0.049155411,-0.026470269,0.073655918,0.094828433,0.009754847,0.028175386,0.017905163,0.048596925,0.45859262
,-0.011683158,-0.065685931,0.047671861,0.152365898,0.084114672,-0.116010434,0.013786466,0.140727861,0.013256669,-0.011984048,-0.050562315,-0.026547374,0.064198256,0.082130596,0.018037091,0.027886674,0.022679873,0.022323564,0.406706221
,-0.016993684,-0.092245702,0.047671861,0.151025208,0.085696392,-0.116029161,0.016104941,0.136644953,0.006646037,-0.011907682,-0.051397242,-0.026470269,0.055425118,0.076324033,0.007052467,0.027597962,0.023703025,0.015214412,0.334062669
,-0.011683158,-0.090506396,0.047243542,0.153813792,0.089704412,-0.114596612,-0.000352139,0.139340922,0.003499066,-0.011009916,-0.051725786,-0.02717882,0.045431168,0.070042777,0.006542636,0.02730925,0.027795634,0.018827414,0.322497787
,-0.016028134,-0.090068559,0.046815224,0.153518125,0.080208065,-0.115953047,0.006606011,0.157549674,0.015726743,-0.009823585,-0.052728612,-0.026949681,0.038143041,0.06740497,0.008934815,0.027020539,0.018928315,0.020002297,0.3293062
,-0.02037311,-0.098939364,0.046815224,0.153675304,0.08752768,-0.114469135,0.027975912,0.171231877,0.02055172,-0.009144027,-0.051192114,-0.026633946,0.036728,0.067422897,0.008801187,0.026731827,0.017905163,0.013112323,0.357727416
,-0.025683637,-0.100635623,0.046386905,0.156587394,0.084409887,-0.112985223,0.01260008,0.175547997,0.018564953,-0.008464469,-0.052821954,-0.025925229,0.038622702,0.064673212,0.001796581,0.026731827,0.047576576,0.002406583,0.349388561
